station_id,timestamp,wind_vv_m_s,wind_vmax_m_s,wind_dv_g,wind_dmax_g
6302A,2025-05-13 11:00:00+00:00,4.1,7.9,67.0,75.0
6307C,2025-05-13 11:00:00+00:00,3.3,7.0,209.0,205.0
6307X,2025-05-13 11:00:00+00:00,4.8,8.8,330.0,335.0
6312E,2025-05-13 11:00:00+00:00,3.9,7.2,103.0,88.0
6325O,2025-05-13 11:00:00+00:00,3.3,6.7,190.0,170.0
6329X,2025-05-13 11:00:00+00:00,5.4,10.9,117.0,110.0
6332Y,2025-05-13 11:00:00+00:00,3.6,6.4,44.0,50.0
6335O,2025-05-13 11:00:00+00:00,2.5,7.7,84.0,120.0
6340X,2025-05-13 11:00:00+00:00,3.4,,,
6364X,2025-05-13 11:00:00+00:00,2.3,5.6,118.0,105.0
6375X,2025-05-13 11:00:00+00:00,1.6,3.5,177.0,225.0
7002Y,2025-05-13 11:00:00+00:00,4.1,7.2,134.0,181.0
7007Y,2025-05-13 11:00:00+00:00,5.4,8.9,142.0,145.0
7012C,2025-05-13 11:00:00+00:00,1.2,4.3,176.0,187.0
7012D,2025-05-13 11:00:00+00:00,2.5,6.3,172.0,175.0
7019X,2025-05-13 11:00:00+00:00,3.7,5.9,125.0,140.0
7026X,2025-05-13 11:00:00+00:00,2.1,5.3,88.0,142.0
7031X,2025-05-13 11:00:00+00:00,4.0,6.7,120.0,110.0
7096B,2025-05-13 11:00:00+00:00,2.4,4.9,313.0,282.0
7119B,2025-05-13 11:00:00+00:00,2.2,4.6,66.0,174.0
7121A,2025-05-13 11:00:00+00:00,2.1,4.9,150.0,152.0
7138B,2025-05-13 11:00:00+00:00,3.0,7.3,178.0,262.0
7145D,2025-05-13 11:00:00+00:00,2.5,6.7,118.0,144.0
7172X,2025-05-13 11:00:00+00:00,2.1,5.5,100.0,145.0
7178I,2025-05-13 11:00:00+00:00,2.1,5.0,89.0,70.0
7203A,2025-05-13 11:00:00+00:00,1.8,5.0,141.0,180.0
7209,2025-05-13 11:00:00+00:00,1.3,5.1,59.0,22.0
7227X,2025-05-13 11:00:00+00:00,1.2,2.9,351.0,345.0
7237E,2025-05-13 11:00:00+00:00,3.0,6.0,118.0,110.0
7244X,2025-05-13 11:00:00+00:00,2.5,5.6,82.0,45.0
7247X,2025-05-13 11:00:00+00:00,2.9,6.8,78.0,70.0
7261X,2025-05-13 11:00:00+00:00,3.3,7.1,116.0,50.0
7275C,2025-05-13 11:00:00+00:00,2.9,6.2,137.0,158.0
8008Y,2025-05-13 11:00:00+00:00,6.0,10.3,181.0,170.0
8019,2025-05-13 11:00:00+00:00,4.4,7.7,90.0,360.0
8025,2025-05-13 11:00:00+00:00,2.8,6.1,143.0,138.0
8036Y,2025-05-13 11:00:00+00:00,2.7,7.1,158.0,165.0
8050X,2025-05-13 11:00:00+00:00,3.2,5.5,64.0,94.0
8057C,2025-05-13 11:00:00+00:00,3.3,6.9,49.0,52.0
8058Y,2025-05-13 11:00:00+00:00,2.9,6.0,29.0,17.0
8059C,2025-05-13 11:00:00+00:00,1.8,5.1,120.0,67.0
8072Y,2025-05-13 11:00:00+00:00,1.2,6.1,101.0,327.0
8096,2025-05-13 11:00:00+00:00,1.6,4.3,176.0,138.0
8155Y,2025-05-13 11:00:00+00:00,3.5,6.2,148.0,147.0
8175,2025-05-13 11:00:00+00:00,1.2,4.0,251.0,132.0
8177A,2025-05-13 11:00:00+00:00,3.7,7.1,168.0,168.0
8178D,2025-05-13 11:00:00+00:00,1.3,3.7,132.0,98.0
8191Y,2025-05-13 11:00:00+00:00,1.7,4.0,159.0,170.0
8193E,2025-05-13 11:00:00+00:00,2.3,4.4,21.0,47.0
8198Y,2025-05-13 11:00:00+00:00,1.8,5.1,120.0,125.0
8203O,2025-05-13 11:00:00+00:00,3.8,,131.0,
8210Y,2025-05-13 11:00:00+00:00,1.4,6.2,187.0,215.0
8270X,2025-05-13 11:00:00+00:00,2.2,5.3,116.0,105.0
8283X,2025-05-13 11:00:00+00:00,1.7,4.4,45.0,50.0
8293X,2025-05-13 11:00:00+00:00,2.8,5.5,27.0,19.0
8300X,2025-05-13 11:00:00+00:00,4.3,7.7,26.0,45.0
8309X,2025-05-13 11:00:00+00:00,1.8,5.8,118.0,154.0
8325X,2025-05-13 11:00:00+00:00,2.7,5.3,69.0,104.0
8354X,2025-05-13 11:00:00+00:00,2.9,8.7,166.0,160.0
8368U,2025-05-13 11:00:00+00:00,1.8,7.6,151.0,195.0
8376,2025-05-13 11:00:00+00:00,3.9,7.6,159.0,160.0
8395X,2025-05-13 11:00:00+00:00,2.9,6.4,156.0,162.0
8409X,2025-05-13 11:00:00+00:00,2.4,5.8,130.0,140.0
8414A,2025-05-13 11:00:00+00:00,4.1,7.2,70.0,90.0
8416X,2025-05-13 11:00:00+00:00,1.2,4.8,68.0,45.0
8416Y,2025-05-13 11:00:00+00:00,0.8,6.3,69.0,76.0
8439X,2025-05-13 11:00:00+00:00,2.0,4.6,111.0,137.0
8458X,2025-05-13 11:00:00+00:00,3.8,6.8,168.0,145.0
8472A,2025-05-13 11:00:00+00:00,4.7,9.7,188.0,190.0
8486X,2025-05-13 11:00:00+00:00,3.8,8.4,171.0,187.0
8489X,2025-05-13 11:00:00+00:00,3.6,8.4,129.0,100.0
8492X,2025-05-13 11:00:00+00:00,2.6,5.5,136.0,137.0
8503Y,2025-05-13 11:00:00+00:00,3.5,5.8,124.0,122.0
8520X,2025-05-13 11:00:00+00:00,2.9,6.5,133.0,120.0
9001D,2025-05-13 11:00:00+00:00,1.9,7.7,221.0,183.0
9001S,2025-05-13 11:00:00+00:00,1.4,5.6,211.0,199.0
9016X,2025-05-13 11:00:00+00:00,3.4,7.5,187.0,167.0
9019B,2025-05-13 11:00:00+00:00,4.2,9.0,212.0,207.0
9031C,2025-05-13 11:00:00+00:00,6.2,9.3,319.0,327.0
9051,2025-05-13 11:00:00+00:00,1.6,7.6,163.0,111.0
9060X,2025-05-13 11:00:00+00:00,2.2,6.1,239.0,240.0
9069C,2025-05-13 11:00:00+00:00,1.4,4.9,220.0,277.0
9073X,2025-05-13 11:00:00+00:00,2.3,5.6,181.0,182.0
9091R,2025-05-13 11:00:00+00:00,4.0,6.7,230.0,140.0
9111,2025-05-13 11:00:00+00:00,2.1,6.9,191.0,189.0
9115X,2025-05-13 11:00:00+00:00,2.6,11.2,139.0,155.0
9122I,2025-05-13 11:00:00+00:00,2.0,5.5,178.0,180.0
9141V,2025-05-13 11:00:00+00:00,1.7,5.0,97.0,65.0
9145Y,2025-05-13 11:00:00+00:00,3.4,6.3,98.0,80.0
9170,2025-05-13 11:00:00+00:00,4.2,7.7,60.0,80.0
9171K,2025-05-13 11:00:00+00:00,3.2,5.5,99.0,110.0
9188,2025-05-13 11:00:00+00:00,6.4,11.9,194.0,217.0
9195C,2025-05-13 11:00:00+00:00,5.4,9.7,104.0,139.0
9198X,2025-05-13 11:00:00+00:00,0.9,1.9,184.0,202.0
9201X,2025-05-13 11:00:00+00:00,1.0,3.2,281.0,263.0
9207,2025-05-13 11:00:00+00:00,1.2,2.7,61.0,345.0
9208E,2025-05-13 11:00:00+00:00,1.1,2.5,108.0,150.0
9211F,2025-05-13 11:00:00+00:00,2.6,4.7,201.0,202.0
9218A,2025-05-13 11:00:00+00:00,1.7,3.8,187.0,190.0
9228J,2025-05-13 11:00:00+00:00,3.8,6.3,178.0,227.0
9228T,2025-05-13 11:00:00+00:00,3.3,6.2,176.0,167.0
9244X,2025-05-13 11:00:00+00:00,1.5,3.4,318.0,348.0
9245X,2025-05-13 11:00:00+00:00,1.9,3.1,42.0,20.0
9252X,2025-05-13 11:00:00+00:00,2.9,6.0,134.0,115.0
9262P,2025-05-13 11:00:00+00:00,4.4,8.6,142.0,142.0
9263D,2025-05-13 11:00:00+00:00,1.6,5.1,190.0,170.0
9263X,2025-05-13 11:00:00+00:00,2.9,6.1,85.0,45.0
9274X,2025-05-13 11:00:00+00:00,2.7,7.1,131.0,130.0
9287A,2025-05-13 11:00:00+00:00,3.5,7.4,221.0,205.0
9293X,2025-05-13 11:00:00+00:00,2.7,6.5,134.0,150.0
9294E,2025-05-13 11:00:00+00:00,2.3,5.6,89.0,81.0
9299X,2025-05-13 11:00:00+00:00,2.6,5.3,87.0,95.0
9302Y,2025-05-13 11:00:00+00:00,1.9,6.2,121.0,170.0
9321Y,2025-05-13 11:00:00+00:00,1.8,3.5,132.0,132.0
9336D,2025-05-13 11:00:00+00:00,1.3,4.3,253.0,250.0
9344C,2025-05-13 11:00:00+00:00,1.0,4.4,353.0,52.0
9352A,2025-05-13 11:00:00+00:00,3.2,4.6,299.0,297.0
9374X,2025-05-13 11:00:00+00:00,2.5,6.9,181.0,197.0
9377Y,2025-05-13 11:00:00+00:00,1.0,3.8,37.0,65.0
9381I,2025-05-13 11:00:00+00:00,1.4,4.3,122.0,205.0
9390,2025-05-13 11:00:00+00:00,0.9,5.1,62.0,242.0
9394X,2025-05-13 11:00:00+00:00,1.7,4.5,52.0,21.0
9427X,2025-05-13 11:00:00+00:00,2.5,4.7,95.0,47.0
9434,2025-05-13 11:00:00+00:00,1.9,4.1,43.0,323.0
9434P,2025-05-13 11:00:00+00:00,1.3,3.2,52.0,52.0
9436X,2025-05-13 11:00:00+00:00,1.7,5.5,280.0,267.0
9445L,2025-05-13 11:00:00+00:00,1.0,2.9,35.0,75.0
9451F,2025-05-13 11:00:00+00:00,1.2,5.7,169.0,253.0
9453X,2025-05-13 11:00:00+00:00,1.9,4.7,134.0,147.0
9460X,2025-05-13 11:00:00+00:00,1.4,3.0,136.0,112.0
9491X,2025-05-13 11:00:00+00:00,2.3,5.0,106.0,120.0
9495Y,2025-05-13 11:00:00+00:00,1.4,3.9,191.0,255.0
9501X,2025-05-13 11:00:00+00:00,2.1,5.7,26.0,337.0
9510X,2025-05-13 11:00:00+00:00,2.0,3.7,360.0,
9513X,2025-05-13 11:00:00+00:00,3.2,5.8,360.0,20.0
9531Y,2025-05-13 11:00:00+00:00,2.3,5.2,251.0,247.0
9546B,2025-05-13 11:00:00+00:00,1.5,3.9,23.0,72.0
9550C,2025-05-13 11:00:00+00:00,4.3,8.7,45.0,60.0
9561X,2025-05-13 11:00:00+00:00,2.2,7.2,102.0,82.0
9562X,2025-05-13 11:00:00+00:00,2.3,6.3,92.0,120.0
9569A,2025-05-13 11:00:00+00:00,1.7,4.6,79.0,110.0
9573X,2025-05-13 11:00:00+00:00,1.7,4.4,41.0,10.0
9574B,2025-05-13 11:00:00+00:00,1.4,4.0,49.0,49.0
9585,2025-05-13 11:00:00+00:00,1.5,4.5,273.0,46.0
9590,2025-05-13 11:00:00+00:00,1.5,5.9,171.0,232.0
9590D,2025-05-13 11:00:00+00:00,1.8,7.3,256.0,155.0
9632X,2025-05-13 11:00:00+00:00,1.2,,,
9638D,2025-05-13 11:00:00+00:00,1.8,5.5,172.0,280.0
9657X,2025-05-13 11:00:00+00:00,1.1,3.0,123.0,170.0
9677,2025-05-13 11:00:00+00:00,3.4,5.7,214.0,239.0
9698U,2025-05-13 11:00:00+00:00,3.5,6.3,171.0,211.0
9707,2025-05-13 11:00:00+00:00,1.1,2.8,131.0,122.0
9724X,2025-05-13 11:00:00+00:00,3.1,6.1,221.0,222.0
9726E,2025-05-13 11:00:00+00:00,2.6,5.9,206.0,142.0
9729X,2025-05-13 11:00:00+00:00,1.1,3.7,168.0,232.0
9744B,2025-05-13 11:00:00+00:00,2.7,7.8,236.0,240.0
9751,2025-05-13 11:00:00+00:00,1.7,5.3,184.0,197.0
9756X,2025-05-13 11:00:00+00:00,1.5,3.9,134.0,82.0
9771C,2025-05-13 11:00:00+00:00,1.7,3.9,237.0,203.0
9784P,2025-05-13 11:00:00+00:00,1.0,5.2,330.0,314.0
9808X,2025-05-13 11:00:00+00:00,2.3,3.6,140.0,125.0
9812M,2025-05-13 11:00:00+00:00,0.0,3.8,,147.0
9814I,2025-05-13 11:00:00+00:00,4.0,7.8,186.0,206.0
9814X,2025-05-13 11:00:00+00:00,1.2,6.6,42.0,195.0
9838B,2025-05-13 11:00:00+00:00,1.1,3.4,88.0,65.0
9839V,2025-05-13 11:00:00+00:00,0.6,5.7,61.0,210.0
9843A,2025-05-13 11:00:00+00:00,0.9,2.7,24.0,15.0
9855E,2025-05-13 11:00:00+00:00,1.2,2.9,217.0,205.0
9866C,2025-05-13 11:00:00+00:00,1.8,4.5,153.0,182.0
9894Y,2025-05-13 11:00:00+00:00,1.3,4.2,137.0,127.0
9898,2025-05-13 11:00:00+00:00,2.2,3.8,137.0,108.0
9908X,2025-05-13 11:00:00+00:00,1.9,3.9,47.0,102.0
9911X,2025-05-13 11:00:00+00:00,2.4,4.9,54.0,87.0
9918Y,2025-05-13 11:00:00+00:00,1.5,3.6,159.0,130.0
9924X,2025-05-13 11:00:00+00:00,1.5,5.8,293.0,2.0
9935X,2025-05-13 11:00:00+00:00,1.5,4.4,84.0,72.0
9947X,2025-05-13 11:00:00+00:00,1.5,3.6,339.0,295.0
9961X,2025-05-13 11:00:00+00:00,1.2,3.7,155.0,297.0
9975X,2025-05-13 11:00:00+00:00,3.1,5.5,138.0,135.0
9981A,2025-05-13 11:00:00+00:00,3.3,6.8,157.0,183.0
9988B,2025-05-13 11:00:00+00:00,3.3,5.7,166.0,175.0
9990X,2025-05-13 11:00:00+00:00,0.3,1.8,289.0,317.0
9994X,2025-05-13 11:00:00+00:00,1.6,4.0,21.0,7.0
9995Y,2025-05-13 11:00:00+00:00,4.3,7.4,17.0,17.0
9998X,2025-05-13 11:00:00+00:00,3.3,6.1,186.0,197.0
B013X,2025-05-13 11:00:00+00:00,0.6,3.6,151.0,185.0
B051A,2025-05-13 11:00:00+00:00,3.1,5.1,296.0,305.0
B087X,2025-05-13 11:00:00+00:00,1.7,3.0,6.0,355.0
B103B,2025-05-13 11:00:00+00:00,0.9,5.5,320.0,168.0
B158X,2025-05-13 11:00:00+00:00,4.1,6.5,228.0,255.0
B228,2025-05-13 11:00:00+00:00,2.4,4.8,193.0,174.0
B236C,2025-05-13 11:00:00+00:00,1.4,4.9,101.0,187.0
B248,2025-05-13 11:00:00+00:00,0.4,4.3,358.0,159.0
B275E,2025-05-13 11:00:00+00:00,3.0,,,
B278,2025-05-13 11:00:00+00:00,5.0,7.7,230.0,240.0
B301,2025-05-13 11:00:00+00:00,3.2,5.7,154.0,182.0
B341X,2025-05-13 11:00:00+00:00,2.7,5.9,184.0,127.0
B373X,2025-05-13 11:00:00+00:00,3.7,6.4,146.0,207.0
B398A,2025-05-13 11:00:00+00:00,2.7,4.5,155.0,167.0
B410B,2025-05-13 11:00:00+00:00,3.3,5.6,174.0,184.0
B496X,2025-05-13 11:00:00+00:00,2.8,6.3,166.0,167.0
B569X,2025-05-13 11:00:00+00:00,4.6,5.3,168.0,162.0
B605X,2025-05-13 11:00:00+00:00,1.8,6.0,55.0,10.0
B614E,2025-05-13 11:00:00+00:00,2.9,5.4,89.0,100.0
B640X,2025-05-13 11:00:00+00:00,1.3,3.0,328.0,303.0
B644B,2025-05-13 11:00:00+00:00,2.1,4.7,80.0,82.0
B656A,2025-05-13 11:00:00+00:00,1.0,4.3,243.0,232.0
B662X,2025-05-13 11:00:00+00:00,1.7,4.5,46.0,12.0
B691Y,2025-05-13 11:00:00+00:00,1.8,4.2,23.0,110.0
B760X,2025-05-13 11:00:00+00:00,2.4,4.9,70.0,57.0
B780X,2025-05-13 11:00:00+00:00,3.1,6.8,79.0,92.0
B800X,2025-05-13 11:00:00+00:00,3.1,,205.0,
B825B,2025-05-13 11:00:00+00:00,3.1,6.8,235.0,215.0
B870C,2025-05-13 11:00:00+00:00,2.3,4.9,175.0,176.0
B893,2025-05-13 11:00:00+00:00,2.9,6.7,190.0,160.0
B925,2025-05-13 11:00:00+00:00,2.0,5.6,110.0,84.0
B954,2025-05-13 11:00:00+00:00,3.8,7.2,110.0,120.0
B957,2025-05-13 11:00:00+00:00,3.7,5.9,141.0,134.0
B986,2025-05-13 11:00:00+00:00,3.2,6.5,159.0,181.0
C018J,2025-05-13 11:00:00+00:00,6.4,9.5,345.0,345.0
C019V,2025-05-13 11:00:00+00:00,0.9,3.7,131.0,2.0
C029O,2025-05-13 11:00:00+00:00,4.2,9.3,50.0,60.0
C038N,2025-05-13 11:00:00+00:00,4.6,7.8,22.0,37.0
C048W,2025-05-13 11:00:00+00:00,5.1,8.2,1.0,20.0
C101A,2025-05-13 11:00:00+00:00,4.7,7.3,16.0,4.0
C117A,2025-05-13 11:00:00+00:00,5.9,10.8,15.0,22.0
C117Z,2025-05-13 11:00:00+00:00,1.2,3.8,252.0,222.0
C126A,2025-05-13 11:00:00+00:00,3.0,5.3,301.0,272.0
C129V,2025-05-13 11:00:00+00:00,7.0,10.4,35.0,37.0
C129Z,2025-05-13 11:00:00+00:00,1.9,4.8,177.0,180.0
C139E,2025-05-13 11:00:00+00:00,11.0,13.9,20.0,30.0
C148F,2025-05-13 11:00:00+00:00,4.7,9.9,10.0,17.0
C229J,2025-05-13 11:00:00+00:00,2.8,8.2,320.0,332.0
C239N,2025-05-13 11:00:00+00:00,3.1,5.8,110.0,100.0
C248E,2025-05-13 11:00:00+00:00,6.9,9.3,344.0,347.0
C249I,2025-05-13 11:00:00+00:00,7.0,8.8,30.0,20.0
C258K,2025-05-13 11:00:00+00:00,4.4,7.3,67.0,342.0
C259X,2025-05-13 11:00:00+00:00,2.6,5.2,75.0,70.0
C314Z,2025-05-13 11:00:00+00:00,9.1,14.7,45.0,42.0
C316I,2025-05-13 11:00:00+00:00,8.9,13.9,43.0,52.0
C317B,2025-05-13 11:00:00+00:00,2.8,6.7,31.0,100.0
C319W,2025-05-13 11:00:00+00:00,3.2,8.4,52.0,15.0
C328W,2025-05-13 11:00:00+00:00,3.9,8.2,27.0,25.0
C329Z,2025-05-13 11:00:00+00:00,2.6,11.4,333.0,318.0
C406G,2025-05-13 11:00:00+00:00,3.0,6.5,85.0,247.0
C419L,2025-05-13 11:00:00+00:00,2.9,6.7,238.0,206.0
C428T,2025-05-13 11:00:00+00:00,2.0,6.7,114.0,137.0
C429I,2025-05-13 11:00:00+00:00,4.0,6.7,180.0,200.0
C430E,2025-05-13 11:00:00+00:00,5.9,11.1,315.0,344.0
C438N,2025-05-13 11:00:00+00:00,4.0,6.1,139.0,147.0
C439J,2025-05-13 11:00:00+00:00,3.8,7.4,158.0,152.0
C446G,2025-05-13 11:00:00+00:00,3.7,11.6,301.0,332.0
C449C,2025-05-13 11:00:00+00:00,2.8,6.9,321.0,298.0
C449F,2025-05-13 11:00:00+00:00,2.1,5.9,358.0,22.0
C457I,2025-05-13 11:00:00+00:00,2.7,5.4,355.0,347.0
C458A,2025-05-13 11:00:00+00:00,2.6,5.8,326.0,330.0
C459Z,2025-05-13 11:00:00+00:00,3.1,4.7,25.0,20.0
C468X,2025-05-13 11:00:00+00:00,0.6,3.9,80.0,35.0
C469E,2025-05-13 11:00:00+00:00,2.4,4.4,46.0,27.0
C611E,2025-05-13 11:00:00+00:00,3.6,5.6,267.0,262.0
C612F,2025-05-13 11:00:00+00:00,0.8,6.1,85.0,225.0
C614H,2025-05-13 11:00:00+00:00,1.3,6.0,306.0,260.0
C619X,2025-05-13 11:00:00+00:00,4.3,12.7,9.0,330.0
C619Y,2025-05-13 11:00:00+00:00,4.8,9.9,140.0,109.0
C623I,2025-05-13 11:00:00+00:00,2.2,6.2,262.0,310.0
C625O,2025-05-13 11:00:00+00:00,3.0,5.6,252.0,270.0
C628B,2025-05-13 11:00:00+00:00,6.9,11.3,359.0,2.0
C629Q,2025-05-13 11:00:00+00:00,3.0,4.0,190.0,182.0
C629X,2025-05-13 11:00:00+00:00,1.9,3.6,162.0,162.0
C635B,2025-05-13 11:00:00+00:00,1.9,4.6,155.0,132.0
C639M,2025-05-13 11:00:00+00:00,2.5,5.5,201.0,150.0
C639U,2025-05-13 11:00:00+00:00,3.9,9.6,33.0,60.0
C648C,2025-05-13 11:00:00+00:00,7.6,11.9,7.0,355.0
C648N,2025-05-13 11:00:00+00:00,3.7,8.1,345.0,327.0
C649I,2025-05-13 11:00:00+00:00,10.8,13.9,10.0,20.0
C649R,2025-05-13 11:00:00+00:00,4.8,8.0,16.0,35.0
C656V,2025-05-13 11:00:00+00:00,2.6,6.2,346.0,317.0
C658X,2025-05-13 11:00:00+00:00,4.5,8.9,331.0,345.0
C659H,2025-05-13 11:00:00+00:00,5.0,9.9,339.0,351.0
C659M,2025-05-13 11:00:00+00:00,3.0,7.5,355.0,349.0
C665T,2025-05-13 11:00:00+00:00,3.4,7.1,343.0,355.0
C668V,2025-05-13 11:00:00+00:00,4.6,8.4,19.0,335.0
C669B,2025-05-13 11:00:00+00:00,2.6,5.8,331.0,350.0
C689E,2025-05-13 11:00:00+00:00,2.9,3.6,183.0,168.0
C839X,2025-05-13 11:00:00+00:00,5.2,8.2,28.0,37.0
C916Q,2025-05-13 11:00:00+00:00,2.4,7.4,35.0,80.0
C917E,2025-05-13 11:00:00+00:00,5.9,15.6,89.0,60.0
C919K,2025-05-13 11:00:00+00:00,3.5,7.4,238.0,292.0
C925F,2025-05-13 11:00:00+00:00,3.1,10.4,327.0,332.0
C928I,2025-05-13 11:00:00+00:00,5.6,10.6,6.0,340.0
C929I,2025-05-13 11:00:00+00:00,10.5,13.9,20.0,20.0
C939T,2025-05-13 11:00:00+00:00,3.3,6.3,41.0,5.0
0009X,2025-05-13 12:00:00+00:00,3.3,7.8,143.0,95.0
0016A,2025-05-13 12:00:00+00:00,4.7,7.2,140.0,140.0
0042Y,2025-05-13 12:00:00+00:00,3.7,6.2,154.0,112.0
0061X,2025-05-13 12:00:00+00:00,3.8,8.3,171.0,187.0
0066X,2025-05-13 12:00:00+00:00,1.9,4.8,198.0,207.0
0073X,2025-05-13 12:00:00+00:00,3.5,6.2,149.0,150.0
0076,2025-05-13 12:00:00+00:00,5.5,7.7,200.0,180.0
0092X,2025-05-13 12:00:00+00:00,1.8,5.3,21.0,165.0
0106X,2025-05-13 12:00:00+00:00,3.3,5.4,184.0,200.0
0114X,2025-05-13 12:00:00+00:00,1.8,4.6,186.0,185.0
0120X,2025-05-13 12:00:00+00:00,2.1,5.7,165.0,170.0
0149X,2025-05-13 12:00:00+00:00,2.6,6.8,168.0,216.0
0171X,2025-05-13 12:00:00+00:00,1.9,4.9,150.0,142.0
0201D,2025-05-13 12:00:00+00:00,6.4,7.5,207.0,216.0
0201X,2025-05-13 12:00:00+00:00,3.4,7.6,266.0,240.0
0222X,2025-05-13 12:00:00+00:00,4.2,7.0,138.0,150.0
0252D,2025-05-13 12:00:00+00:00,2.0,5.3,173.0,175.0
0281Y,2025-05-13 12:00:00+00:00,2.5,3.9,183.0,185.0
0284X,2025-05-13 12:00:00+00:00,2.6,6.3,150.0,127.0
0312X,2025-05-13 12:00:00+00:00,0.8,7.6,156.0,265.0
0320I,2025-05-13 12:00:00+00:00,2.8,5.2,120.0,140.0
0360X,2025-05-13 12:00:00+00:00,1.0,3.3,45.0,265.0
0363X,2025-05-13 12:00:00+00:00,2.3,6.1,179.0,187.0
0367,2025-05-13 12:00:00+00:00,3.6,7.2,200.0,200.0
0370E,2025-05-13 12:00:00+00:00,2.6,5.2,187.0,205.0
0372C,2025-05-13 12:00:00+00:00,3.1,7.1,97.0,76.0
0385X,2025-05-13 12:00:00+00:00,2.9,5.5,133.0,110.0
0394X,2025-05-13 12:00:00+00:00,4.8,9.7,63.0,67.0
0411X,2025-05-13 12:00:00+00:00,3.2,6.3,112.0,97.0
0413A,2025-05-13 12:00:00+00:00,1.8,6.2,105.0,105.0
0421X,2025-05-13 12:00:00+00:00,3.6,6.9,178.0,167.0
0429X,2025-05-13 12:00:00+00:00,2.3,5.9,156.0,160.0
0433D,2025-05-13 12:00:00+00:00,1.8,,42.0,
1002Y,2025-05-13 12:00:00+00:00,1.3,3.2,346.0,325.0
1010X,2025-05-13 12:00:00+00:00,1.6,4.9,70.0,90.0
1012P,2025-05-13 12:00:00+00:00,1.9,5.1,302.0,340.0
1014A,2025-05-13 12:00:00+00:00,4.0,6.2,340.0,350.0
1021X,2025-05-13 12:00:00+00:00,1.6,6.3,258.0,287.0
1025A,2025-05-13 12:00:00+00:00,0.9,2.3,122.0,95.0
1025X,2025-05-13 12:00:00+00:00,1.3,3.7,65.0,117.0
1026X,2025-05-13 12:00:00+00:00,1.8,6.6,280.0,292.0
1033X,2025-05-13 12:00:00+00:00,5.4,10.5,215.0,232.0
1037Y,2025-05-13 12:00:00+00:00,2.0,,,
1038X,2025-05-13 12:00:00+00:00,1.5,4.7,64.0,27.0
1041A,2025-05-13 12:00:00+00:00,1.4,4.6,40.0,43.0
1049N,2025-05-13 12:00:00+00:00,1.2,4.3,327.0,87.0
1052A,2025-05-13 12:00:00+00:00,2.0,3.4,64.0,72.0
1056K,2025-05-13 12:00:00+00:00,1.2,3.9,324.0,307.0
1057B,2025-05-13 12:00:00+00:00,4.4,6.2,98.0,92.0
1059X,2025-05-13 12:00:00+00:00,3.9,6.4,31.0,35.0
1060X,2025-05-13 12:00:00+00:00,2.8,5.9,98.0,97.0
1064L,2025-05-13 12:00:00+00:00,0.2,3.5,211.0,297.0
1074C,2025-05-13 12:00:00+00:00,0.9,4.9,303.0,352.0
1078I,2025-05-13 12:00:00+00:00,1.9,4.4,99.0,67.0
1082,2025-05-13 12:00:00+00:00,1.8,4.1,80.0,70.0
1083B,2025-05-13 12:00:00+00:00,2.6,6.4,308.0,270.0
1083L,2025-05-13 12:00:00+00:00,3.0,4.4,306.0,302.0
1089U,2025-05-13 12:00:00+00:00,2.7,4.9,100.0,120.0
1096X,2025-05-13 12:00:00+00:00,1.9,5.0,10.0,55.0
1103X,2025-05-13 12:00:00+00:00,2.4,4.8,29.0,12.0
1109X,2025-05-13 12:00:00+00:00,4.2,6.7,50.0,30.0
1111X,2025-05-13 12:00:00+00:00,4.8,6.0,40.0,38.0
1124E,2025-05-13 12:00:00+00:00,2.8,7.1,345.0,17.0
1135C,2025-05-13 12:00:00+00:00,1.5,3.7,238.0,257.0
1152C,2025-05-13 12:00:00+00:00,2.1,4.3,43.0,7.0
1154H,2025-05-13 12:00:00+00:00,3.9,7.3,55.0,40.0
1159,2025-05-13 12:00:00+00:00,3.6,5.3,63.0,67.0
1167B,2025-05-13 12:00:00+00:00,1.1,3.3,59.0,335.0
1167H,2025-05-13 12:00:00+00:00,2.9,5.8,178.0,186.0
1167J,2025-05-13 12:00:00+00:00,2.0,7.5,2.0,90.0
1174I,2025-05-13 12:00:00+00:00,4.3,8.1,346.0,355.0
1176A,2025-05-13 12:00:00+00:00,0.9,3.2,84.0,62.0
1178E,2025-05-13 12:00:00+00:00,2.2,4.4,349.0,348.0
1178I,2025-05-13 12:00:00+00:00,0.9,3.0,8.0,6.0
1178M,2025-05-13 12:00:00+00:00,2.0,3.6,301.0,321.0
1178R,2025-05-13 12:00:00+00:00,3.8,5.7,36.0,49.0
1179B,2025-05-13 12:00:00+00:00,1.6,4.7,32.0,330.0
1183X,2025-05-13 12:00:00+00:00,3.7,5.5,68.0,75.0
1186P,2025-05-13 12:00:00+00:00,2.1,6.3,257.0,262.0
1191D,2025-05-13 12:00:00+00:00,2.2,6.2,306.0,11.0
1199X,2025-05-13 12:00:00+00:00,3.0,5.1,39.0,17.0
1203D,2025-05-13 12:00:00+00:00,3.2,5.0,73.0,67.0
1207U,2025-05-13 12:00:00+00:00,3.1,6.4,26.0,30.0
1208H,2025-05-13 12:00:00+00:00,2.7,5.0,27.0,29.0
1210X,2025-05-13 12:00:00+00:00,0.6,2.8,177.0,134.0
1212E,2025-05-13 12:00:00+00:00,2.8,4.1,350.0,360.0
